,image ID,total,galaxy,cluster,something else,red,blue,impossible,fluffy,bright,no core,bright core,bulge,round,elliptical,disturbed,dense,fuzzy,clumpy,scattered light,small star,nothing,something else entirely,RA,DEC
144,UDGcand_337_insp.png,10,8,2,0,0,8,0,8,0,0,1,7,0,4,4,0,1,7,0,0,0,0,49.4995117188,-36.898273468
145,UDGcand_233_insp.png,4,4,0,0,0,4,0,4,0,3,0,1,4,0,0,1,2,1,0,0,0,0,49.5590515137,-36.0998306274
146,UDGcand_348_insp.png,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,49.8435592651,-36.5602645874
147,UDGcand_60_insp.png,4,1,3,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,55.4668464661,-35.5409965515
148,UDGcand_380_insp.png,7,4,2,1,0,4,0,4,0,3,0,1,0,1,3,0,1,3,0,0,1,0,55.3666915894,-36.8095207214
149,UDGcand_294_insp.png,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1660270691,-36.2807998657
150,UDGcand_16_insp.png,4,3,1,0,0,3,0,2,1,0,1,2,2,0,1,1,2,0,0,0,0,0,55.9962882996,-35.7852020264
151,UDGcand_84_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.3391494751,-35.9487266541
152,UDGcand_62_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.4046096802,-34.972278595
153,UDGcand_340_insp.png,11,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,49.2265777588,-36.653755188
154,UDGcand_250_insp.png,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,49.7220916748,-36.0953636169
155,UDGcand_319_insp.png,10,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,50.1684455872,-36.1157951355
156,UDGcand_372_insp.png,10,1,4,5,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,3,1,55.9284286499,-36.6954803467
157,UDGcand_65_insp.png,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9086303711,-35.9057540894
158,UDGcand_334_insp.png,7,1,6,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,49.5081825256,-36.8829689026
159,UDGcand_293_insp.png,9,2,7,0,2,0,0,0,2,0,0,2,0,0,2,1,0,1,0,0,0,0,49.9537658691,-36.4407691956
160,UDGcand_54_insp.png,5,3,1,1,0,3,0,3,0,2,0,1,0,2,1,0,1,2,0,0,1,0,55.7846298218,-35.1467399597
161,UDGcand_239_insp.png,3,2,1,0,2,0,0,0,2,0,1,1,0,2,0,2,0,0,0,0,0,0,49.3492469788,-35.9564170837
162,UDGcand_82_insp.png,4,4,0,0,0,4,0,3,1,0,1,3,0,3,1,0,3,1,0,0,0,0,55.5262794495,-35.1551399231
163,UDGcand_118_insp.png,5,4,0,1,0,4,0,4,0,1,1,2,4,0,0,0,4,0,0,0,1,0,55.8579788208,-35.6187400818
164,UDGcand_394_insp.png,8,2,5,1,0,2,0,2,0,1,1,0,2,0,0,1,0,1,1,0,0,0,56.4586219788,-35.9734039307
165,UDGcand_246_insp.png,3,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,50.1103401184,-36.5789108276
166,UDGcand_352_insp.png,9,3,6,0,0,3,0,3,0,0,2,1,0,3,0,1,2,0,0,0,0,0,49.9039154053,-36.017074585
167,UDGcand_167_insp.png,4,3,0,1,0,3,0,2,1,1,1,1,3,0,0,1,1,1,0,0,1,0,55.717590332,-35.5691261292
168,UDGcand_166_insp.png,3,3,0,0,0,3,0,2,1,0,2,1,1,1,1,0,2,1,0,0,0,0,55.8439254761,-35.6513290405
169,UDGcand_324_insp.png,5,2,3,0,0,2,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,0,49.3053131104,-36.0340042114
170,UDGcand_49_insp.png,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,55.9117393494,-35.8471488953
171,UDGcand_69_insp.png,6,6,0,0,0,5,1,6,0,4,0,2,0,0,6,0,3,2,0,0,0,0,55.5672988892,-35.3390693665
172,UDGcand_299_insp.png,12,1,9,2,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,2,0,49.7556152344,-36.0904960632
173,UDGcand_287_insp.png,13,10,2,1,0,9,1,10,0,5,0,5,0,3,7,0,3,7,0,0,1,0,49.2591819763,-36.1610107422
174,UDGcand_292_insp.png,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,50.1158103943,-36.1171340942
175,UDGcand_395_insp.png,8,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,55.8917579651,-36.8032226562
176,UDGcand_0_insp.png,5,5,0,0,0,5,0,5,0,1,0,4,0,2,3,0,4,1,0,0,0,0,56.2326087952,-35.335723877
177,UDGcand_291_insp.png,11,7,1,3,0,4,3,7,0,7,0,0,0,1,6,0,6,1,0,0,3,0,50.2013244629,-36.1401863098
178,UDGcand_180_insp.png,5,5,0,0,5,0,0,0,5,0,3,2,4,1,0,5,0,0,0,0,0,0,56.1199378967,-35.2564926147
179,UDGcand_11_insp.png,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.6990585327,-35.5369300842
180,UDGcand_327_insp.png,7,6,0,1,0,6,0,6,0,4,1,1,2,0,4,0,3,3,0,0,1,0,50.1276893616,-36.6828651428
181,UDGcand_175_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1430778503,-35.1817855835
182,UDGcand_71_insp.png,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.3254814148,-35.4078559875
183,UDGcand_311_insp.png,9,1,7,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,49.910736084,-36.5642433167
184,UDGcand_40_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.8064002991,-35.5187301636
185,UDGcand_126_insp.png,3,2,1,0,2,0,0,0,2,0,1,1,2,0,0,2,0,0,0,0,0,0,55.9307632446,-35.2742195129
186,UDGcand_163_insp.png,3,3,0,0,1,2,0,3,0,1,0,2,1,1,1,0,2,1,0,0,0,0,55.7757453918,-35.1032218933
187,UDGcand_187_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1341705322,-35.8142127991
188,UDGcand_85_insp.png,3,1,2,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,55.3899993896,-35.218006134
189,UDGcand_31_insp.png,3,3,0,0,2,1,0,1,2,2,0,1,3,0,0,1,2,0,0,0,0,0,55.9265136719,-35.3581695557
190,UDGcand_279_insp.png,6,1,5,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,49.4050827026,-36.7967834473
191,UDGcand_99_insp.png,5,2,3,0,0,2,0,2,0,2,0,0,0,1,1,0,2,0,0,0,0,0,55.7170066833,-35.450504303
192,UDGcand_323_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8284187317,-36.5508384705
193,UDGcand_95_insp.png,4,2,2,0,2,0,0,0,2,0,0,2,1,1,0,2,0,0,0,0,0,0,56.1902198792,-35.2131996155
194,UDGcand_9_insp.png,4,1,2,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,56.0949249268,-35.2429389954
195,UDGcand_2_insp.png,6,3,3,0,3,0,0,0,3,0,0,3,2,1,0,3,0,0,0,0,0,0,55.6338996887,-35.8669281006
196,UDGcand_74_insp.png,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56.4367790222,-35.1319084167
197,UDGcand_211_insp.png,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.7013015747,-35.7006912231
198,UDGcand_181_insp.png,6,3,2,1,0,3,0,3,0,3,0,0,0,3,0,0,3,0,0,0,1,0,55.6405563354,-35.4991188049
199,UDGcand_18_insp.png,4,2,2,0,1,1,0,2,0,1,0,1,2,0,0,1,1,0,0,0,0,0,56.3265037537,-35.5018501282
200,UDGcand_309_insp.png,6,2,4,0,2,0,0,0,2,1,0,1,1,1,0,2,0,0,0,0,0,0,49.2403717041,-36.200012207
201,UDGcand_143_insp.png,3,3,0,0,0,2,1,3,0,0,1,2,0,2,1,0,2,1,0,0,0,0,55.509437561,-35.4506874084
202,UDGcand_93_insp.png,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0619773865,-35.6525230408
203,UDGcand_277_insp.png,6,3,1,2,3,0,0,3,0,3,0,0,0,0,3,0,1,2,0,0,1,1,49.1277618408,-36.2797164917
204,UDGcand_363_insp.png,8,8,0,0,4,2,2,3,5,0,6,2,8,0,0,4,1,3,0,0,0,0,56.281917572,-36.1454200745
205,UDGcand_316_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8619728088,-36.5947380066
206,UDGcand_367_insp.png,8,1,7,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,56.0377960205,-36.0186691284
207,UDGcand_86_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.7145347595,-35.1618423462
208,UDGcand_220_insp.png,3,1,2,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,55.5980758667,-35.9121856689
209,UDGcand_216_insp.png,7,2,5,0,1,1,0,1,1,0,1,1,0,2,0,1,1,0,0,0,0,0,55.4272537231,-35.0298614502
210,UDGcand_170_insp.png,5,5,0,0,5,0,0,1,4,0,2,3,1,4,0,4,1,0,0,0,0,0,55.8353385925,-35.0661468506
211,UDGcand_260_insp.png,5,4,0,1,1,2,1,3,1,1,1,2,0,1,3,0,2,2,0,0,1,0,49.6442184448,-36.3471412659
212,UDGcand_386_insp.png,5,5,0,0,5,0,0,0,5,0,5,0,5,0,0,3,2,0,0,0,0,0,56.0783157349,-36.9131393433
213,UDGcand_209_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3021278381,-35.5708885193
214,UDGcand_134_insp.png,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4131698608,-35.0727081299
215,UDGcand_123_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1881561279,-35.2696647644
216,UDGcand_253_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8340415955,-36.5460472107
217,UDGcand_201_insp.png,4,3,0,1,3,0,0,1,2,0,2,1,3,0,0,3,0,0,0,1,0,0,55.5091133118,-35.117477417
218,UDGcand_234_insp.png,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,49.9592247009,-36.9464797974
219,UDGcand_219_insp.png,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.4927444458,-35.613445282
